x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg
-0.044504263,1.3486001,-0.7617169,-0.39336884,0.04510259,0.14062914,0.0,0.0
-0.082238294,1.3029197,-0.7618187,-0.41499758,0.080240935,0.14052127,0.0,0.0
-0.12266693,1.2714256,-0.8419229,-0.17892386,0.10737207,0.09680105,0.0,0.0
-0.16568136,1.2496448,-0.89222276,-0.2050427,0.1610577,0.30035162,0.0,0.0
-0.21110716,1.2377394,-0.92749226,-0.042760544,0.23582359,0.31714264,0.0,0.0
-0.25895673,1.2446475,-1.006998,0.12707213,0.31503564,0.31640494,0.0,0.0
-0.312879,1.2700104,-1.152334,0.27638742,0.38746253,0.2672353,0.0,0.0
-0.3744186,1.3117409,-1.3086815,0.43228725,0.44916603,0.23224291,0.0,0.0
-0.43932915,1.3593171,-1.3086431,0.4106369,0.5072251,0.23223206,0.0,0.0
-0.50520414,1.403637,-1.3477005,0.37241718,0.59563327,0.43088308,0.0,0.0
-0.5717148,1.4450532,-1.3475289,0.35066006,0.7033437,0.4308142,0.0,0.0
-0.6391631,1.4829434,-1.3828712,0.30511695,0.8455071,0.6576943,0.0,0.0
-0.7072912,1.5177858,-1.3823407,0.28323406,1.009894,0.65744936,0.0,0.0
-0.7830089,1.556788,-1.6355221,0.3449415,1.1743823,0.64703584,0.0,0.0
-0.8638562,1.5980504,-1.6196492,0.35399866,1.2990981,0.40734583,0.0,0.0
-0.94460416,1.6379229,-1.6193956,0.3323574,1.4009259,0.4072876,0.0,0.0
-1.0174152,1.6695529,-1.9376142,0.33530834,1.4811187,0.39296976,0.0,0.0
0.026500225,1.4698374,0.41851074,0.4255664,-0.00015748515,0.09272012,0.0,0.0
0.047657967,1.5162586,0.41844153,0.40395084,0.023009475,0.092649005,0.0,0.0
0.06881199,1.5602561,0.41837436,0.38233298,0.046159063,0.09257859,0.0,0.0
0.08929519,1.6184021,0.40999708,0.6186393,0.06890088,0.10528128,0.0,0.0
0.11129169,1.6867595,0.46111387,0.59927523,0.06403576,-0.10039433,0.0,0.0
0.13530818,1.7528217,0.5129393,0.57961816,0.008333787,-0.30841848,0.0,0.0
0.16130428,1.8165545,0.560737,0.5562491,-0.097146995,-0.50028336,0.0,0.0
0.18923768,1.8777252,0.61107624,0.5284164,-0.2514798,-0.70686257,0.0,0.0
0.2191474,1.9361328,0.6542865,0.49648377,-0.4562466,-0.8954064,0.0,0.0
0.25635844,2.0065482,0.8821454,0.69359344,-0.6763981,-0.8729952,0.0,0.0
0.2978677,2.086583,0.84155846,0.6950693,-0.85809785,-0.63394886,0.0,0.0
0.3382474,2.1665418,0.8106101,0.7003881,-0.982145,-0.39647934,0.0,0.0
0.3867194,2.251181,1.0996289,0.77374804,-1.0761971,-0.36802337,0.0,0.0
